branch_code,branch_name,branch_address,fbank_code,fstate_code2
16015,Putrajaya,"R13 & R15 Bangunan Annexe
Dewan Persidangan
Kompleks Perbadanan Putrajaya
Precint 3
62675 Putrajaya
Putrajaya",101,SGOR
12259,Pandan Jaya,"16 & 16A, Jalan Pandan 3/6A,
Taman Pandan Jaya,
55100 Kuala Lumpur
Selangor",101,SGOR
14413,Technology Park Malaysia,"Lot No. G-1&2, Ground Floor,
Support Service Building,
Technology Park Malaysia,
Lebuhraya Puchong - Sg. Besi,
Bukit Jalil,
57000 Kuala Lumpur
Selangor",101,SGOR
12099,Sabak Bernam,"29 & 31, Jalan Menteri,
45200 Sabak Bernam
Selangor",101,SGOR
12398,Bandar Baru Klang,"32, Lorong Tiara 1A,
Bandar Baru Klang,
41150 Klang
Selangor",101,SGOR
12400,Taman Sri Gombak,"11-13, Jalan SG 3/14, 
Taman Sri Gombak, 
68100 Batu Caves
Selangor",101,SGOR
12661,Putra Indah ,"G-M Floor, Wisma SSP,
1, Jalan SR 8/3,
Serdang Jaya, Seksyen 8,
43300 Seri Kembangan
Selangor",101,SGOR
14833,Taman Kinrara,"12 & 13 Jalan TK 1/11A
Taman Kinrara Seksyen 1,
Batu 7 1/2 Jalan Puchong
58200 Kuala Lumpur
Selangor",101,SGOR
12745,Sungai Buloh,"No. 354 & 355, Jalan 1A/3,
Bandar Baru Sungai Buloh,
47000 Sungai Buloh,
Selangor Darul Ehsan
Selangor",101,SGOR
12754,"Giza,Kota Damansara","B01 & B02 Sunway Giza Mall, No 2 Jalan PJU 5/14, 47810 Kota Damansara, Petaling Jaya",101,SGOR
12679,Ampang Point ,"No 2 & 3, Jln Memanda 7,
Batu 4 1/2, Jln Ampang,
Tmn Dato\ Ahmad Razali,
68000 Kuala Lumpur
Selangor",101,SGOR
12688,Damansara Jaya ,"No 65 & 67, Jln SS 22/19,
Damansara Jaya,
47400 Petaling Jaya
Selangor",101,SGOR
12334,"Section 14, PJ","18A, Jalan 14/14,
46100 Petaling Jaya
Selangor",101,SGOR
